rssd_id,total_equity_capital,total_equity_capital_usd,bank_name
101952,11344.0,11344000.0,"BRADY NATIONAL BANK, THE"
2963275,11335.0,11335000.0,MISSION BANK
954653,11328.0,11328000.0,CITIZENS STATE BANK OF LULING
3103591,11326.0,11326000.0,UNITED BANK & TRUST CO.
3025929,11317.0,11317000.0,GOGEBIC RANGE BANK
758842,11305.0,11305000.0,CITIZENS SAVINGS BANK
62110,11290.0,11290000.0,"ROCKEFELLER TRUST COMPANY, NATIONAL ASSOCIATION"
292467,11273.0,11273000.0,POINTWEST BANK
564678,11267.0,11267000.0,GSL SAVINGS BANK
108652,11258.0,11258000.0,B2 BANK NATIONAL ASSOCIATION
764067,11238.0,11238000.0,"AMERICAN NATIONAL BANK OF MOUNT PLEASANT, THE"
883351,11237.0,11237000.0,LIBERTY STATE BANK
284752,11235.0,11235000.0,NORTHWOODS BANK OF MINNESOTA
48057,11231.0,11231000.0,PRAIRIE BANK OF KANSAS
